source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
48	luminal_ar	basal_like_1	TGFB3	TGFbR1_R2	6.7476974353536e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
49	macrophage	basal_like_1	TGFB3	TGFbR1_R2	7.98857813141113e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
50	stroma	basal_like_1	TGFB3	TGFbR1_R2	7.14942375094785e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
51	Tcell	basal_like_1	TGFB3	TGFbR1_R2	7.24005189658587e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
52	basal_like_1	Bcell	TGFB3	TGFbR1_R2	1.14224422500815e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
53	Bcell	Bcell	TGFB3	TGFbR1_R2	2.00096930364498e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
54	endothelial	Bcell	TGFB3	TGFbR1_R2	1.12871409754723e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
55	luminal_ar	Bcell	TGFB3	TGFbR1_R2	1.41946221497735e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
56	macrophage	Bcell	TGFB3	TGFbR1_R2	1.68049663224773e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
57	mesenchymal	Bcell	TGFB3	TGFbR1_R2	8.07652928933709e-07	0.04	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
58	stroma	Bcell	TGFB3	TGFbR1_R2	1.50397020481784e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
59	Tcell	Bcell	TGFB3	TGFbR1_R2	1.5230349863157e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
60	basal_like_1	endothelial	TGFB3	TGFbR1_R2	1.78834377714621e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
61	Bcell	endothelial	TGFB3	TGFbR1_R2	3.13279682954029e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
62	endothelial	endothelial	TGFB3	TGFbR1_R2	1.76716044468234e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
63	luminal_ar	endothelial	TGFB3	TGFbR1_R2	2.22236712242275e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
64	macrophage	endothelial	TGFB3	TGFbR1_R2	2.63105261271031e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
65	mesenchymal	endothelial	TGFB3	TGFbR1_R2	1.26449435487379e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
66	stroma	endothelial	TGFB3	TGFbR1_R2	2.35467598876649e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
67	Tcell	endothelial	TGFB3	TGFbR1_R2	2.38452461389438e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
68	Bcell	luminal_ar	TGFB3	TGFbR1_R2	8.88766836436587e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
69	macrophage	luminal_ar	TGFB3	TGFbR1_R2	7.46422941685256e-07	0.02	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
70	stroma	luminal_ar	TGFB3	TGFbR1_R2	6.68015483437859e-07	0.02	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
71	Tcell	luminal_ar	TGFB3	TGFbR1_R2	6.76483438636357e-07	0.02	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
72	basal_like_1	macrophage	TGFB3	TGFbR1_R2	1.01122986466778e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
73	Bcell	macrophage	TGFB3	TGFbR1_R2	1.77146015218948e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
74	endothelial	macrophage	TGFB3	TGFbR1_R2	9.9925163227929e-07	0.01	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
75	luminal_ar	macrophage	TGFB3	TGFbR1_R2	1.2566512457865e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
76	macrophage	macrophage	TGFB3	TGFbR1_R2	1.48774531692732e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
77	mesenchymal	macrophage	TGFB3	TGFbR1_R2	7.15015854610937e-07	0.04	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
78	stroma	macrophage	TGFB3	TGFbR1_R2	1.33146627583547e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
79	Tcell	macrophage	TGFB3	TGFbR1_R2	1.34834434096385e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
80	Bcell	mesenchymal	TGFB3	TGFbR1_R2	1.06704120851268e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
81	luminal_ar	mesenchymal	TGFB3	TGFbR1_R2	7.56945243933504e-07	0.01	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
82	macrophage	mesenchymal	TGFB3	TGFbR1_R2	8.96145117469297e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
83	stroma	mesenchymal	TGFB3	TGFbR1_R2	8.02010211957877e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
84	Tcell	mesenchymal	TGFB3	TGFbR1_R2	8.1217672472647e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
85	basal_like_1	stroma	TGFB3	TGFbR1_R2	1.09736733011199e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
86	Bcell	stroma	TGFB3	TGFbR1_R2	1.92235453278422e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
87	endothelial	stroma	TGFB3	TGFbR1_R2	1.0843687792739e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
88	luminal_ar	stroma	TGFB3	TGFbR1_R2	1.3636938856275e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
89	macrophage	stroma	TGFB3	TGFbR1_R2	1.61447269655962e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
90	mesenchymal	stroma	TGFB3	TGFbR1_R2	7.75921572407433e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
91	stroma	stroma	TGFB3	TGFbR1_R2	1.44488169857691e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
92	Tcell	stroma	TGFB3	TGFbR1_R2	1.4631974558494e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
93	basal_like_1	Tcell	TGFB3	TGFbR1_R2	1.31789020706859e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
94	Bcell	Tcell	TGFB3	TGFbR1_R2	2.30866342949244e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
95	endothelial	Tcell	TGFB3	TGFbR1_R2	1.30227951187414e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
96	luminal_ar	Tcell	TGFB3	TGFbR1_R2	1.63773668589799e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
97	macrophage	Tcell	TGFB3	TGFbR1_R2	1.938910960879e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
98	mesenchymal	Tcell	TGFB3	TGFbR1_R2	9.31847952447151e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
99	stroma	Tcell	TGFB3	TGFbR1_R2	1.73523964578969e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
100	Tcell	Tcell	TGFB3	TGFbR1_R2	1.7572360765812e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
101	Bcell	basal_like_1	TGFB1	ACVR1B_TGFbR2	1.09298258230352e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
102	endothelial	basal_like_1	TGFB1	ACVR1B_TGFbR2	1.79532816694676e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
103	macrophage	basal_like_1	TGFB1	ACVR1B_TGFbR2	2.3838579077107e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
104	stroma	basal_like_1	TGFB1	ACVR1B_TGFbR2	1.4349789329203e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
105	Tcell	basal_like_1	TGFB1	ACVR1B_TGFbR2	3.2056055778402e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
106	basal_like_1	Bcell	TGFB1	ACVR1B_TGFbR2	1.00729209773923e-06	0.01	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
107	Bcell	Bcell	TGFB1	ACVR1B_TGFbR2	1.96196249146788e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
108	endothelial	Bcell	TGFB1	ACVR1B_TGFbR2	3.22270859300324e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
109	macrophage	Bcell	TGFB1	ACVR1B_TGFbR2	4.27914824120312e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
110	stroma	Bcell	TGFB1	ACVR1B_TGFbR2	2.57586346106406e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
111	Tcell	Bcell	TGFB1	ACVR1B_TGFbR2	5.75422376196627e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
112	basal_like_1	endothelial	TGFB1	ACVR1B_TGFbR2	1.31060254381452e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
113	Bcell	endothelial	TGFB1	ACVR1B_TGFbR2	2.55273741011105e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
114	endothelial	endothelial	TGFB1	ACVR1B_TGFbR2	4.19311045336433e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
115	macrophage	endothelial	TGFB1	ACVR1B_TGFbR2	5.56765667982089e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
116	stroma	endothelial	TGFB1	ACVR1B_TGFbR2	3.35149197972922e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
117	Tcell	endothelial	TGFB1	ACVR1B_TGFbR2	7.48689355679674e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
118	Bcell	luminal_ar	TGFB1	ACVR1B_TGFbR2	9.68089436939336e-07	0.02	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
119	endothelial	luminal_ar	TGFB1	ACVR1B_TGFbR2	1.59017939641768e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
120	macrophage	luminal_ar	TGFB1	ACVR1B_TGFbR2	2.11145910445339e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
121	stroma	luminal_ar	TGFB1	ACVR1B_TGFbR2	1.27100654179659e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
122	Tcell	luminal_ar	TGFB1	ACVR1B_TGFbR2	2.83930754616869e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
123	Bcell	macrophage	TGFB1	ACVR1B_TGFbR2	1.33374030061633e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
124	endothelial	macrophage	TGFB1	ACVR1B_TGFbR2	2.19079527699981e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
125	macrophage	macrophage	TGFB1	ACVR1B_TGFbR2	2.90896333628789e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
126	stroma	macrophage	TGFB1	ACVR1B_TGFbR2	1.75107002417405e-06	0	TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	PMID: 27449815
