gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	_0_	_1_	_4_	_2_	_3_	_6_	_7_	_5_	_8_	_10_	_9_
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0546460D1	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS027F8BD7E	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.183	0.319	0.406	0.261	0.337	0.333	0.156	0.286	0.3	0.409	0.36
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.011	0.003	0.0	0.004	0.01	0.008	0.102	0.003	0.015	0.009	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0546460D1	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.183	0.319	0.281	0.261	0.337	0.333	0.156	0.286	0.3	0.223	0.36
BMPR1A	P36894	True	BMR1A_HUMAN	MIS receptor 1	CPI-CS07557A266	0.002	0.002	0.051	0.003	0.01	0.011	0.0	0.015	0.011	0.009	0.005
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
